구분,QA
소개,"AI/DX 혁신사례와 경험을 바탕으로한
기업 실전 프로젝트를 중심으로
구성하였습니다. 이론, 실습을 거쳐 프로젝트까지,
단계를 거치며 문제 해결능력을
향상시킬 수 있습니다. 취업에 도움이 되는
다양한 프로젝트를 경험하고,
포트폴리오를 작성할 수 있습니다.
과제 발굴부터 서비스∙제안서 구현까지 직접 수행하며
실전 경험을 쌓을 수 있습니다."
소개,"교과목 종료 후 개인별 실습 프로젝트 수행 및 에이블러간 상호 리뷰
Step 종료 후 KT 실전 데이터를 바탕으로 종합 미니 프로젝트를 수행합니다. Step 2까지 배운 내용을 토대로
과제 발굴 – AI 모델링 – AI 서비스 프로토타입 / DX 솔루션 제안까지 수행합니다. "
교육/수강,"컴퓨터공학 비전공자도 커리큘럼을 따라갈 수 있을까요?

비전공자도 SW개발에 관심과 열정이 있으신 분들은 충분히 따라 갈 수 있습니다. 이 경우 데이터 사이언스 기반으로 산업 현장에 AI를 접목하고 DX를 이끄는 DX컨설턴트 Track을 추천 드립니다. SW기초 지식 및 코딩역량을 보유하고 있고 개발자로 성장하고 싶은 분께는 AI개발자 Track을 추천 드립니다.  "
교육/수강,"교육 전에 미리 공부하면 좋은 것이 있을까요?

파이썬 프로그래밍 사용법과 AI 개념에 대한 기초 이해를 공부하고 오시면 도움이 되실 것 같습니다."
교육/수강,"출결 기준이 어떻게 될까요?

1. 당일 소정훈련시간의 50퍼센트 미만을 수강한 경우, 2. 지각, 조퇴 3회 누적 시, 결석 처리 됩니다."
교육/수강,"휴가를 사용할 수 있나요?

K-Digital Training (K-DT) 규정상 월 1회 휴가 사용이 가능합니다."
교육/수강,"교육 수료 기준은 무엇인가요?

KT 에이블스쿨은 고용노동부 K-Digital Training 사업으로 운영됨에 따라 총 훈련일수의 80% 이상을 출석한 경우 수료대상이 됩니다.

※ 국민내일배움카드 운영규정 상 단위기간 50%이상 무단결석 시 또는 총 결석 일수가 전체 훈련일수의 20% 초과 시 제적대상이나, 훈련 수준 유지를 위하여 KT 에이블스쿨에서는 100% 출석을 권장하고 있습니다. 출결 미달로 인해 훈련 수준 유지가 어려운 경우 제적 대상이 될 수 있습니다.(#국민내일배움카드 운영규정 제35조)"
교육/수강,"교육 장소(지역)는 어떻게 되나요?

KT 에이블스쿨은 전국 어디서나 참여할 수 있도록, 온/오프라인을 병행하여 탄력적으로 운영합니다.
오프라인 교육장소는 6개 권역(수도권, 강원권, 부산/경남권, 대구/경북권, 충남/충북권, 전남/전북권)에 위치하고 있습니다.

수도권 : KT분당교육장 (경기도 성남시 분당구 불정로 90), KT전농교육장 (서울시 동대문구 사가정로 105)
강원권 : KT원주연수원 (강원도 원주시 행구동 행구덕현길 109)
부산/경남권 : 에이블스쿨 BDIA 동구캠퍼스 (부산 동구 초량중로29 KCA빌딩)
대구/경북권 : KT북대구빌딩 (대구광역시 북구 고성로 141)
충남/충북권 : KT탄방빌딩 (대전광역시 서구 문정로 48번길 30)
전남/전북권 : KT신안빌딩 (광주광역시 북구 신안동 무등로 202번길)"
교육/수강,"지원 지역(교육 장소)을 변경할 수 있나요?

서류 접수 마감 이후에 지원 지역(교육 장소) 변경은 불가능하며, 최종 합격된 지역에서만 교육이 가능합니다."
교육/수강,"대면 교육도 진행하나요?

교육 과정 중 STEP1과 STEP2는 대부분 비대면 교육으로 진행하며, 일부 프로젝트는 대면으로 진행될 수 있습니다. STEP3 프로젝트 수행기간에는 대면 & 비대면을 병행하여 진행합니다. (단, 코로나 정부방역지침에 따라 변경될 수 있습니다.)"
교육/수강,"비대면으로 진행된다면 개인이 원하는 시간대에 참여할 수 있나요?

KT 에이블스쿨은 풀타임으로 교육이 진행되며, 정해진 시간에 필수로 참여해야 합니다."
교육/수강,"타사 교육과 병행 할 수 있나요?

KT 에이블스쿨은 풀타임(09:00~18:00)으로 교육이 진행되므로 교육에 풀타임으로 참여할 수 있어야 교육 수강이 가능합니다."
국민내일배움카드,"KT 에이블스쿨은 무료인가요?

네, KT 에이블스쿨은 'K-Digital Training 교육'으로, 과정의 비용은 국민내일배움카드로 신청하여 지원받을 수 있습니다."
국민내일배움카드,"국민내일배움카드가 무엇인가요?

국가에서 국민 스스로 직업능력개발훈련을 실시할 수 있도록 훈련비를 지원하는 제도로 2020년 이전 분리 운영되었던 실업
